rep,q_min_global,q_min_observed,q_min_protected,q_path_min,q_path_median,q_path_q05,q_path_q95,augmented_eig_min,tail_margin,nll,time_sec
94,3233.0090528201017,3233.009052820101,3233.009052820099,3233.0091506673634,4734.882771341662,3248.413568441599,17839.11361400392,9.217375923377552e-14,80.57662963489139,8088.801599071475,2.6131509580000056
95,0.0002731086206040345,4139.159461437998,3742.059356316328,4147.57039260395,4996.353928089347,4243.54435973509,14404.542460560695,1.3909798936289145e-08,103.74996356730844,7904.130945649884,3.903491416999998
96,0.0002747721955529414,2592.8176071624807,524.8505348593676,2774.446087293332,5542.527538018365,3258.1380597021257,16304.528483011447,2.9720685655916634e-07,98.58714439959024,8027.776325535822,2.7443267500000275
97,0.0002751245656327228,2765.85595877004,1457.1339601462394,2873.0202291175656,5142.621603253456,3224.2718286278587,18524.017283536927,6.747677928020585e-08,80.46404637242607,8238.177548974683,3.642845125000008
98,3693.7968504621585,3693.796850462159,3693.7968504621585,3693.8015577432247,4624.825622821595,3702.1518665871995,15716.402628719372,1.373306188366262e-13,80.89034341372782,8228.22556488527,2.9186932090000255
99,4259.510118560106,4259.510118560106,4259.510118560108,4259.510523608081,5197.986857607868,4269.965891680859,17287.89928437326,2.5394214551450608e-15,90.93793044852019,8187.194954041269,3.0931298749999883
100,4527.81013569807,4527.810135698071,4527.810135698066,4527.811560142558,5287.515362208103,4536.967581087125,13891.047109433206,-3.5086225882233016e-14,97.83758295789731,8147.245547140905,2.756534166999984
101,0.0002742740653047804,3454.008731172956,2451.439872184359,3501.629167842123,5223.173070972742,3704.4604480458233,16785.58057284441,2.3627796158070585e-08,95.8689545072787,8175.782685381054,3.8603864579999936
102,0.0002745641795627307,3538.901335349491,2248.5824330170135,3608.6654935684287,5382.3857407788055,3866.6740086832406,14768.969482673827,3.350279242416948e-08,97.04866083659411,8172.661583592631,2.8565540420000275
103,0.00027573195802688133,3616.4487538618782,2300.852903501496,3669.2925604396296,5404.01691426049,3937.247835924937,18004.114796861813,1.32603979095882e-07,83.4561809953876,8290.310598602422,3.664387041999987
104,0.0002765002373052994,3021.1385298368973,2257.5532938574397,3022.218634261903,4316.859165297776,3198.739396755737,17817.36109108617,2.449715771538738e-07,73.14793494831612,8148.831075985565,3.1056404159999715
105,0.000271788227109937,3082.308481396216,421.35197680850615,3181.144911941549,6670.156648388303,3674.6720059427385,17337.779287693258,3.8627276150099197e-07,107.29636602318189,8046.062581985703,3.856226166999989
106,0.0002730848009377951,3199.437478816341,1583.759250463127,3333.818791648411,5383.958951191811,3697.8484136163406,15044.718207469537,7.518156988264644e-08,97.96523427587792,8081.664407613898,2.913155916999983
107,0.00027440599660621956,3355.8234322642684,1791.1619846043131,3431.807262022706,5379.44372841485,3754.0053018550534,16418.005112025396,1.2214547296206617e-07,105.61880215215207,7961.85097531471,2.1598716670000044
108,4180.715269244082,4180.715269244082,4180.7152692440795,4180.715314472964,5120.564104360594,4192.169988705141,17181.208047663335,-1.1557964202468774e-13,87.56566794041333,8182.697092549516,3.591428791999988
109,4741.365935140517,4741.365935140515,4741.365935140517,4741.36626857753,6229.2361980176665,4758.074025049954,15132.455884692044,3.6342237826738906e-13,114.08004880778736,8031.882732359973,2.8211882080000237
110,0.0002735853431659052,2522.4375506850756,710.1234989811883,2715.5315177667476,5379.888493947327,3220.0105872968734,17184.144944825057,1.393218777158471e-07,91.0607629295315,8151.827640260092,3.273515040999996
111,4035.7564926077844,4035.756492607785,4035.756492607774,4035.7574336505577,5386.542848811385,4048.948847285185,18470.750553594196,-2.6914257998149983e-13,92.6321713785048,8135.4146103225885,3.615027540999961
112,3399.8943728836334,3399.894372883633,3399.894372883632,3399.894511326546,4147.704035464628,3407.767968554121,15560.646040838763,-2.2207596750910478e-14,79.31397968334707,7988.387011767567,3.1722447910000255
114,0.00027386021702113794,3633.161182613685,2504.4596148041956,3674.909639121223,5116.952796103236,3910.5690031181575,15669.840758566583,1.0664646417829111e-07,95.69478242149069,8024.414885518166,2.9443789169999945
115,4245.026930853037,4245.026930853037,4245.026930853031,4245.027749291426,5463.481365824334,4253.165930933396,17081.07678775281,7.811644935958794e-14,90.26214193484341,8227.793098185732,2.670829875000038
116,0.00027427225722931325,3932.0216996184618,3826.188186804738,3936.8608302814446,4827.674666934884,3984.278685563778,14687.01979201804,4.352511512607577e-10,89.6558807852274,8143.827945387759,2.7216399170000045
117,0.00027482422592584044,3602.4739257085325,3451.18339339648,3611.0130274838825,4902.349781295711,3674.2725261466417,17944.00504872973,8.277947054417997e-10,78.0382109659806,8269.342450233707,3.571714333999978
118,3860.191355388769,3860.1913553887684,3860.191355388761,3860.1968065061596,5198.263097791483,3874.1384921944923,16622.575372141906,-1.3362003027072732e-13,92.62517162595503,8064.738008172202,3.138934625000047
119,3744.790950141637,3744.7909501416357,3744.790950141629,3744.790959312332,5225.544596324997,3757.3964325880324,18367.11772355194,-8.587957368925496e-14,91.14256800651907,8165.648004582434,2.7167082910000317
