model,source,rep,X_mean,X_sd,X_q05,X_q50,X_q95,Vhat_mean,Vhat_sd,Vhat_q05,Vhat_q50,Vhat_q95
M3,simulated,15,-0.09531143760903711,0.9637489577145901,-1.3859037904279836,-0.23077913605285064,1.4274815786071071,-0.04361965521616716,6.613879334164071,-8.830744213591197,-0.5039534419092191,10.177895409979271
M3,simulated,16,0.12133703177273357,0.8591831166577614,-1.2925152423685378,0.2543930860832838,1.3350008069056052,0.003453205008639759,6.484529057054154,-8.788170493748044,-0.3727744546973,9.920973024433435
M3,simulated,17,-0.5536241679079762,0.6777087542637455,-1.410394449695694,-0.696760404725147,0.791250520387977,-0.0343398713812304,5.732884759304693,-8.286550408751044,-0.36015786740844385,9.377712105901207
M3,simulated,18,-0.06664097976284133,0.8688224210379732,-1.3109839199395237,-0.19389107424807997,1.3692532757799443,-0.05930248840675314,6.200725617513567,-8.910737672985814,-0.4322324633265373,9.799646089005572
M3,simulated,19,-0.25016721006049714,0.7820433243555353,-1.3570041090251836,-0.4253757519854373,1.113924954222374,-0.028643086785514107,5.793584851095622,-8.153140999307297,-0.3893612589965678,9.290666107944373
M3,simulated,20,0.4502497755035834,0.7066853877061642,-1.0031920814967643,0.5988773334207868,1.3347089906840062,0.003697046833506977,6.365955030011237,-8.555683692608621,-0.48876663417195476,10.15491290749133
M3,simulated,21,-0.02331324649933963,0.8681258991415922,-1.354289339913448,0.05099254014809123,1.3503826928979703,-0.039981418373817,6.336444019590874,-8.52810172061567,-0.25065145884436424,10.047853413240492
M3,simulated,22,0.20206966171702215,0.8402260945994785,-1.1445924547573274,0.27203820709661997,1.4235315414185281,-0.025193021835018762,6.180249921839052,-8.35368131601575,-0.35007993182685354,9.122540449638597
M3,simulated,23,0.06711657146821665,0.8750161792828046,-1.3315452878124887,0.17331381058906364,1.3434785680535108,-0.005714192823542578,5.7455963852413765,-8.203697136330277,-0.31087300179437616,9.198670190005204
M3,simulated,24,-0.000983206484874404,0.9085786281490186,-1.3284314828067225,-0.057906065037006474,1.3842547072985674,-0.03377734559828465,6.099989294987106,-8.17049377693137,-0.40284153514824617,9.702950533070407
M3,simulated,25,0.11509339590731488,0.8698802697892308,-1.2866462598352106,0.2639714093642822,1.31044995002918,-0.0017492184022325887,6.2685335326567735,-8.342121569525643,-0.27152444619900906,9.583551103956813
