rep,success,seed,error,model,description,eta,a,b,c,d,alpha,beta,gamma,delta,epsilon,zeta,nll,convergence,time_sec
155,True,20260758,,M4,asymmetric drift with position-velocity diffusion,72.03186107322004,-72.4216116132166,31.11649891616063,51.93597196785131,-32.710798082428596,51.01037419588772,38.10496896808615,4118.735844276209,119.91029921514664,-153.17717847384284,-341.60605709655795,8045.24715622657,0,2.8884810419999667
156,True,20260759,,M4,asymmetric drift with position-velocity diffusion,72.17381468912703,-86.01567014210971,-1.5329080950086886,56.32531449165297,-25.83465258050984,47.89600116258705,193.4715715941111,4857.572992378558,219.0542600162365,-203.7267608382356,-623.6921750767306,8286.412196117735,0,3.453273000000024
157,True,20260760,,M4,asymmetric drift with position-velocity diffusion,73.132140232436,-82.78983581464257,7.189478618186543,67.09648392177861,-0.9287897789395452,61.52392844045425,180.88380746347335,4026.658218220244,262.33420367709414,-253.7889178079803,-470.6745802102866,8150.22279567474,0,2.921845915999995
158,True,20260761,,M4,asymmetric drift with position-velocity diffusion,70.17098828718908,-118.14534420763954,-4.677906944146395,93.92122523777766,0.7269036660442199,43.73454127694981,244.62540897988472,3889.0780173967646,505.0195759367301,-297.2325654397419,-831.2724423287733,7871.537965540918,0,2.9067433330000085
159,True,20260762,,M4,asymmetric drift with position-velocity diffusion,70.12204050856317,-81.70170348779774,-10.184240083189572,71.08931728577258,-3.235528867892606,62.986140873385445,193.04557925860593,3623.7257558811857,94.11868184201975,-153.98925356425107,-235.98004451223824,8147.396993676415,0,2.7216752499999757
160,True,20260763,,M4,asymmetric drift with position-velocity diffusion,68.17045328835829,-72.95927040606227,11.701999613412273,80.95260978373716,-12.586374840479316,76.84541084193899,120.75195821416564,2875.0643338723953,113.97943319266632,-186.83384532685147,-215.50102175567116,8199.17056611224,0,3.1363844170000448
161,True,20260764,,M4,asymmetric drift with position-velocity diffusion,67.86492237719386,-101.09455477233604,-27.38128745208091,88.6525726431347,2.8672872492156776,54.05335038348979,216.476084775973,4239.25241638312,134.1984451129594,-169.6577271256792,-471.0549076831014,8243.772178512296,0,4.063087332999999
162,True,20260765,,M4,asymmetric drift with position-velocity diffusion,72.36560235318018,-80.02085952459555,5.3402273360777714,77.18698719451149,-4.800129736985205,32.3469577351689,60.537439731665074,4814.185300368972,182.58489730774812,-153.68432023797004,-172.05917271101322,7958.873571081338,0,3.15659662500002
163,True,20260766,,M4,asymmetric drift with position-velocity diffusion,65.8279318911591,-103.047017951233,-6.900868070577322,98.06951972482696,-7.695470279908683,52.97276495968384,99.27929891582188,3367.1564960411897,472.0025116273535,-316.2484979178003,-296.3497297182464,8087.918453465571,0,3.4749595420000787
164,True,20260767,,M4,asymmetric drift with position-velocity diffusion,74.7125624882667,-68.11176660448949,21.482777288625016,49.45245475489016,-20.613699676861373,66.40133646359467,67.42537700623448,4091.086279577067,164.64808984905383,-184.40900889395735,-866.056724602764,8244.267787750734,0,3.2547084159999713
165,True,20260768,,M4,asymmetric drift with position-velocity diffusion,70.1982396171942,-136.36595190456114,30.61102655986091,148.6318459351337,-26.18159742438277,61.2524851673413,98.59094164554436,3270.8975268162308,396.1885558924991,-311.56080397428474,-250.74144305940263,8018.783418173838,0,3.20324170899994
166,True,20260769,,M4,asymmetric drift with position-velocity diffusion,76.43128338597481,-102.81312213322022,44.93107859745649,95.6141426326886,-28.92045587355706,71.92325070296205,-107.27249931340054,4118.078504376021,305.0753764133578,-273.16038234644554,-659.8279323719564,8319.359165062302,0,3.2661966250000205
