k,age_ka,X,Vhat,q_observed_fit,q_boot_q025,q_boot_q50,q_boot_q975,q_ratio_q025,q_ratio_q50,q_ratio_q975
1950,41.0,0.6384971347825736,-5.501483878824942,5506.150864706898,4175.825496941418,5671.70117582621,8112.926209369769,0.758392859103708,1.0300664321024056,1.4734296986614868
1951,40.98,0.5284674572060748,1.623378844750123,4268.2277555439605,3023.271957113727,4054.5221737266093,5484.480605166419,0.7083202046064265,0.9499310734906845,1.2849550022354546
1952,40.96,0.5609350341010773,-2.3795441796974792,4111.9955099450935,3223.012026062789,4283.849872986262,5846.04411623286,0.7838072824417616,1.04179342186185,1.4217048880753569
1953,40.94,0.5133441505071277,-11.86453134576877,11785.540231982628,7599.76309140807,10985.293132412253,16351.447997948962,0.6448379066056268,0.9320992433254158,1.38741607733651
1954,40.92,0.2760535235917523,-11.466316080738936,10643.992693206977,6680.1061010501535,9828.054488418818,14519.258376701391,0.6275940141628821,0.9233428443342606,1.3640800773912236
1955,40.9,0.046727201976973554,-7.093207731093143,5846.061840757349,4254.0835065429055,5693.192948924865,7987.981045934216,0.7276836308648755,0.9738509622380799,1.3663866827825726
1956,40.88,-0.0951369526448893,-7.038816153193306,5634.606558227518,4124.017326404233,5481.519977930386,7742.82828245701,0.731908658357422,0.9728310080366483,1.3741559774304235
1957,40.86,-0.23591327570875542,-8.052869507612614,6165.163306204021,4263.5216837719045,5894.322252088883,8461.353209617206,0.6915504865023625,0.9560691192328045,1.3724459173859227
1958,40.84,-0.3969706658610077,-3.122673134411391,3992.863622145662,3136.4538375593083,4127.029093595587,5617.770602968551,0.785514892159993,1.0336013157839408,1.4069527874207
1959,40.82,-0.45942412854923553,-7.255558416450247,5355.94676397508,3781.8272153194393,5172.310352079383,7438.443619100573,0.7060987313683903,0.9657135479518086,1.3888195583146357
1960,40.8,-0.6045352968782405,-8.185513380166665,5778.755136842233,3901.931378529598,5456.27929821575,7984.6586306716645,0.6752200579763249,0.944196313740558,1.3817264171249926
1961,40.78,-0.7682455644815738,1.4887066949302419,5357.529742613418,4069.24612716152,5308.5852709891515,7716.789369406883,0.7595377576338997,0.9908643583935772,1.4403633279024246
1962,40.76,-0.7384714305829689,7.419475025331357,11019.340059170347,7619.83908857759,9752.962173680324,13814.620902416833,0.6914968634837914,0.8850767941918503,1.253670440174885
1963,40.74,-0.5900819300763418,4.061777495967522,6987.990441830094,5203.754566654964,6451.521767930311,9090.404220647506,0.7446711053731989,0.9232299073152015,1.3008609980678236
1964,40.72,-0.5088463801569914,2.8527607166317193,5909.739026467395,4362.992491734914,5590.894309983945,7752.815098579357,0.7382716008600021,0.9460475809413124,1.3118709749884978
1965,40.7,-0.45179116582435697,3.4309891779118473,6251.12909009684,4597.488220540401,5805.283661417804,8083.60510111628,0.7354652502415653,0.9286776161149267,1.2931432041489088
1966,40.68,-0.38317138226612,-4.741483098322741,4302.072686286547,3336.6358042218544,4342.442864417635,5987.4836148644345,0.7755879659722728,1.0093838902954322,1.3917671902546809
1967,40.66,-0.47800104423257483,-7.134776083168726,5265.732513585386,3730.7956890130163,5098.284512307455,7306.116956551641,0.708504596347746,0.9682004353912923,1.3874834959242883
1968,40.64,-0.6206965658959493,1.4373021390287288,5162.117226649867,3858.991352831786,5066.241320341278,7261.559291825423,0.7475598060635695,0.9814270187794996,1.406701741358567
1969,40.62,-0.5919505231153748,-0.5868700284453077,4293.95486276817,3318.8497937749567,4374.124785209469,6188.383825151057,0.7729121287584761,1.0186704157364188,1.4411851132411793
1970,40.6,-0.6036879236842809,2.814159900190427,6014.367327368748,4491.593066528182,5728.883872965056,8060.399152885504,0.7468105657745433,0.952533086380577,1.3401906990625867
1971,40.58,-0.5474047256804724,5.174036664976489,7956.004722479771,5747.113909239088,7165.418916016661,10010.738256732775,0.7223618021493327,0.9006302994982769,1.2582619802182033
1972,40.56,-0.4439239923809426,-3.529050040010029,4028.04460843455,3192.7921427403235,4142.773217808605,5724.309656501722,0.7926407110921155,1.0284824575015428,1.4211137693250138
1973,40.54,-0.5145049931811432,-1.3181664555850237,4089.0889365823177,3154.6082391869995,4196.237525250017,5829.023345657754,0.7714697058713615,1.0262035358803554,1.4255066192152042
1974,40.52,-0.5408683222928437,3.3189616817740575,6298.619560816053,4681.402027174045,5896.790486179623,8276.893908807573,0.7432425441754286,0.936203628309888,1.31408062177599
1975,40.5,-0.4744890886573625,2.316949577572025,5509.344181461279,4082.079652587677,5254.348011488597,7288.34986392808,0.7409374905862137,0.9537156943596421,1.3229069783755902
1976,40.48,-0.428150097105922,-2.0752039913186415,3979.191618385699,3071.8430259062893,4102.5698841935755,5675.8531707376405,0.7719766526731106,1.031005861903662,1.426383475606599
1977,40.46,-0.46965417693229483,2.9778042911323244,5943.756747737565,4378.404419467151,5580.940447767138,7765.446597416675,0.7366392342913005,0.9389584205126615,1.3064879548397599
1978,40.44,-0.41009809110964834,-4.545233993654785,4234.786310399693,3297.819592346491,4292.732279259854,5908.448827974906,0.778745218914064,1.01368332770838,1.3952177028307353
1979,40.42,-0.501002770982744,-3.8641156072142913,4062.116304804219,3221.2271611644005,4156.633686213516,5786.826483962585,0.7929923516356958,1.023268014580851,1.4245841452443326
1980,40.4,-0.5782850831270299,-0.06900430455281104,4448.929744514108,3446.7183041987005,4486.000631261248,6401.585452548186,0.7747297669622192,1.0083325403807173,1.4389045950752226
1981,40.38,-0.5796651692180861,2.5542483676838312,5799.352948563721,4324.719515330224,5546.361541967416,7732.011239615966,0.7457244892124202,0.9563759252385283,1.3332541247607441
