traj,seed,observation,success,convergence,error,model,description,eta,a,b,c,d,alpha,beta,gamma,delta,epsilon,zeta,nll,q_path_rmse,q_path_relative_rmse,q_path_min,time_sec
31,20260652,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,39.304114716164676,-135.25127720057657,48.897085069358106,172.24470020298668,-30.837142577368102,22.172167937920968,-12.47276401364028,1521.68913763034,36.3400040606158,-26.32413175677957,185.45434693228546,6896.285583394278,499.30156505082334,0.24833665944663194,1308.6998148979678,28.688955750000048
32,20260653,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,26.399925086731212,-76.24419199715294,19.034132953573362,91.51063449359836,-9.014728604542576,22.675677213870514,0.044704489487492456,1106.310367447587,140.96796244014166,-1.6192313685226774,-8.641071295401634,-3711.159153886425,909.7980264720725,0.3988473116743304,1106.8850778356307,5.428858708000007
32,20260653,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,37.238998889105076,-127.88057733983753,50.09854920714468,151.9250300099377,-33.803769878864706,27.617856657592785,-9.838120323311175,1265.19117490459,59.167341876770685,-7.414113945338982,-34.159633177416474,7083.070072407943,2440.32133886516,1.0698150329058216,1259.5624303427878,22.62521533299997
33,20260654,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,27.60078131224068,-80.67276213817685,15.044371205708597,99.4400781262858,0.5159254789676888,18.374683188754474,-7.656144739599781,1293.7052676588248,56.5919157886908,-1.9208380175414426,-34.942128509616225,-3887.966424398624,139.92121731422972,0.07134347585840928,1287.574505944997,6.565308125000001
33,20260654,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,37.690258278878865,-138.41005318802266,46.224168951222495,171.22153466770706,-22.570106258800177,17.686291526482595,-34.6415043637732,1631.8204137421158,2.9373977213117892,14.41550171563182,-14.117562883103568,7030.610981982113,366.6653761932893,0.18695650964651916,1614.8576666412005,18.53415833400004
34,20260655,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,32.003643301241716,-76.96216254360176,12.972364543256118,100.04345049513022,1.7475348363881735,16.335226543849544,-0.3782410750247606,1415.4545894520406,8.373184719265216,-12.730059066836507,-8.861655926283047,-4213.581956152919,281.44710085814444,0.15058718910791932,1412.0365301668203,9.090132457999971
34,20260655,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,41.800123525361656,-142.0863036849485,44.53087335507984,188.20156636034454,-25.017806213960938,21.720794172497783,-25.550982325525286,1525.5113442130792,1.0557899809815756,-6.782212123348342,-52.544648599828705,6828.877237602008,330.8139655632478,0.17700074024540066,1420.1778989472098,48.52932433299992
35,20260656,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,26.980837870739684,-70.48021564797342,25.25763588825312,78.11045373427726,-9.72451949184766,22.580847569393125,-5.562472377185808,1182.8876117927225,26.979741277432645,-22.741675194350933,-8.48049721278779,-3993.8149199412674,356.632936971235,0.17636115920985526,1181.1360735429157,8.04666695800006
35,20260656,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,37.05951569974453,-123.86299298080039,51.85589116657653,148.24068983070632,-26.867004832030247,23.29264309108696,-15.04066010120082,1448.7114388588902,13.423349388140839,-34.84754298350588,-29.740119613055843,7067.496622631208,568.7871651407991,0.2812750965736224,1379.1311477952397,47.66303329200002
36,20260657,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,28.11422309952569,-65.79558090820505,15.88812309526124,77.56472816648807,-2.926507973907273,20.09613913800014,1.9657575015268556,1235.7496049692193,1.5380176406507646,-8.315848220037227,-55.4239821375169,-4126.268952850554,111.16162998924982,0.058176217185866234,1146.0664477788898,6.164572207999981
36,20260657,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,36.50474081016124,-132.97632830780276,75.17526627589558,156.51558561300234,-55.29892761038256,15.577042586363524,-30.591446039618095,1502.7764489117587,7.047596665062112,-20.18979313367557,-35.020841399453474,6889.352232085497,389.0960552249225,0.20363264389985988,1398.0975969460796,53.050288207999984
37,20260658,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,27.426235681860955,-79.77013233977355,14.505347266370926,87.93622399831177,0.9965099338836267,23.86956686393629,5.067839475803198,1121.7685659770848,63.22148191605928,-20.93424410812861,45.92536520085896,-4004.9499705941453,2659.75474248054,1.1427658711577748,1112.3239003762205,6.285133249999944
37,20260658,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,39.17110508496825,-121.5271804098069,30.363978416335527,142.07674331239565,-11.12700762389508,30.15702122891438,-22.243575544318112,1299.7865728154238,12.970915392840828,-38.12372800994537,77.15050177960589,7033.13606271,6915.478736023538,2.9712412787634412,1192.556554747664,28.347698083999944
38,20260659,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,31.076423290249792,-86.51164660811459,32.64753309100005,80.86665159582147,-5.6635942992862995,16.114608003435023,-21.2484255635388,1350.5469821946042,77.27952172129149,9.17277274632463,48.446522140885136,-4208.260464766922,302.2311427154158,0.16122384975310736,1334.234830138746,6.353535500000021
38,20260659,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,39.60192037902841,-130.01390807455405,41.23722807669,131.62312789330036,-8.546540118489633,19.054745034756472,-0.8426000351718094,1507.826528526894,2.4296329515854196,-13.608238154956428,0.3008778634161133,6868.57497981577,226.40306903193473,0.12077370338905587,1507.81722294587,13.319714500000032
39,20260660,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,29.183931695791358,-74.04942088484955,7.245902855331499,84.27734795788815,13.345739762951734,22.78125616244025,-0.7446196140006242,1207.4006824987914,10.973731129269307,-31.6224844004154,0.516800345865034,-4210.641837679632,868.9081582933152,0.41765475834947424,1207.3946314196378,2.662960333000001
39,20260660,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,39.585707841346476,-131.6552440148076,35.83226736289076,149.86292092181714,-6.341807797484051,24.229549660921943,-5.413456636741729,1372.4568971252022,53.01797477875935,-12.979224973940136,46.445494627448966,6948.326659249145,1279.4940236101413,0.6150094945478674,1362.4225183496558,20.89140416700002
