k,age_ka,X_old,X_new,Vhat_old,Vhat_new,regime_switch,m2_ios_contribution,m2_loo_valid,m2_nit,m2_seconds,m2_parameter_shift_relative,m2_start_kind,m2_warm_start_excess_nll,m3_ios_contribution,m3_loo_valid,m3_nit,m3_seconds,m3_parameter_shift_relative,m3_start_kind,m3_warm_start_excess_nll,m4_ios_contribution,m4_loo_valid,m4_nit,m4_seconds,m4_parameter_shift_relative,m4_start_kind,m4_warm_start_excess_nll
1534,49.32,-0.6712419400186187,-0.2465177529732303,21.23620935226942,49.71054293183641,False,0.3608159119537504,True,11,0.2169307919999994,0.0805015457493115,full fit warm start,0.0,0.4237894514502471,True,23,0.487194125000002,0.3746548555323877,full fit warm start,0.0,0.4699401040738742,True,78,2.5346257920000426,0.2222027622849667,full fit warm start,0.0
1535,49.3,-0.2465177529732303,0.7476931056634979,49.71054293183641,27.328936463214593,True,0.0001506088493963,True,2,0.0476425829999982,0.0002458878585807,full fit warm start,0.0,0.0001566529675507,True,2,0.0642445409999936,0.0002705686267026,full fit warm start,0.0,0.0024594124135868,True,27,0.9326732909999008,0.0093484230819593,full fit warm start,0.0
1536,49.28,0.7476931056634979,1.2942718349277897,27.328936463214593,9.10776044801258,False,0.0005630901007576,True,2,0.047538082999992,0.0003138272085883,full fit warm start,0.0,0.0005836083395611,True,2,0.0625177080000014,0.000328915404864,full fit warm start,0.0,0.0024742648628275,True,27,1.020202457999858,0.0108289295711053,full fit warm start,0.0
1537,49.26,1.2942718349277897,1.4764270438880414,9.10776044801258,-5.851435187948395,False,0.0002732796492699,True,2,0.0479445830000031,0.0002907017843477,full fit warm start,0.0,0.0024276375140996,True,5,0.1198940410000091,0.0159939522523769,full fit warm start,0.0,0.0067997515348228,True,88,2.4493642910001654,0.0452375095125904,full fit warm start,0.0
1538,49.24,1.4764270438880414,1.3593983401290735,-5.851435187948395,-8.036199785192988,False,8.114512090351411e-05,True,1,0.0337122079999971,9.40736742974066e-05,full fit warm start,0.0,0.0020510195900782,True,3,0.1035235420000049,0.0138020457232867,full fit warm start,0.0,0.0016740417809737,True,74,2.1283181670000886,0.018758337250568,full fit warm start,0.0
1539,49.22,1.3593983401290735,1.1986743444252137,-8.036199785192988,-1.7675982951136149,False,0.0002943652221967,True,2,0.0476364579999994,0.0002175900359599,full fit warm start,0.0,0.0003094680546231,True,2,0.0697483330000068,0.0003712975104906,full fit warm start,0.0,0.0011465995511641,True,21,0.8510471250001501,0.0063544931047588,full fit warm start,0.0
1540,49.2,1.1986743444252137,1.1633223785229414,-1.7675982951136149,-7.122437663936143,False,5.416858487938825e-05,True,1,0.0333523750000068,8.756244739341111e-05,full fit warm start,0.0,8.502560795431435e-05,True,1,0.0420645419999914,0.0006651829923156,full fit warm start,0.0,0.0021687220533022,True,35,1.1848195419997865,0.0157847459550378,full fit warm start,0.0
1541,49.18,1.1633223785229414,1.0208736252442185,-7.122437663936143,-6.23879620741028,False,4.9737129520277534e-05,True,1,0.0334154579999932,9.02592129315836e-05,full fit warm start,0.0,5.895110673970194e-05,True,1,0.0424928340000008,0.0003101083158888,full fit warm start,0.0,0.0008513331458064,True,20,0.722000332999869,0.0063489220324286,full fit warm start,0.0
1542,49.16,1.0208736252442185,0.8960977010960129,-6.23879620741028,-15.589978685886607,False,0.0082378327283016,True,7,0.1180768749999998,0.0036585212328213,full fit warm start,0.0,0.0209802949259998,True,14,0.3013354170000184,0.1155195175326543,full fit warm start,0.0,0.031976509670704,True,68,2.1520251669999197,0.063630562024537,full fit warm start,0.0
1543,49.14,0.8960977010960129,0.5842981273782808,-15.589978685886607,-12.917102114319334,False,0.0007394154560476,True,2,0.0474580829999951,0.0003705944208305,full fit warm start,0.0,0.0007007097333215,True,2,0.0614918330000193,0.0007789162998243,full fit warm start,0.0,0.0035432817965062,True,63,2.419421291999697,0.0380408987764225,full fit warm start,0.0
